a, Fruling'
1.228 , 12.7932
1.229 , 12.7651
1.23 , 12.7369
1.231 , 12.7087
1.232 , 12.6805
1.233 , 12.6523
1.234 , 12.6241
1.235 , 12.5959
1.236 , 12.5677
1.237 , 12.5394
1.238 , 12.5112
1.239 , 12.4829
1.24 , 12.4546
1.241 , 12.4264
1.242 , 12.3981
1.243 , 12.3698
1.244 , 12.3415
1.245 , 12.3131
1.246 , 12.2848
1.247 , 12.2565
1.248 , 12.2281
1.249 , 12.1998
1.25 , 12.1714
1.251 , 12.143
1.252 , 12.1146
1.253 , 12.0862
1.254 , 12.0578
1.255 , 12.0294
1.256 , 12.001
1.257 , 11.9726
1.258 , 11.9441
1.259 , 11.9157
1.26 , 11.8872
1.261 , 11.8588
1.262 , 11.8303
1.263 , 11.8018
1.264 , 11.7733
1.265 , 11.7448
1.266 , 11.7163
1.267 , 11.6877
1.268 , 11.6592
1.269 , 11.6307
1.27 , 11.6021
1.271 , 11.5735
1.272 , 11.545
1.273 , 11.5164
1.274 , 11.4878
1.275 , 11.4592
1.276 , 11.4306
1.277 , 11.402
1.278 , 11.3733
1.279 , 11.3447
1.28 , 11.316
1.281 , 11.2874
