a, Fruling'
2.16525 , 11.1674
2.16625 , 11.1858
2.16725 , 11.2042
2.16825 , 11.2225
2.16925 , 11.2409
2.17025 , 11.2593
2.17125 , 11.2777
2.17225 , 11.2961
2.17325 , 11.3145
2.17425 , 11.3328
2.17525 , 11.3512
2.17625 , 11.3696
2.17725 , 11.3879
2.17825 , 11.4063
2.17925 , 11.4247
2.18025 , 11.443
2.18125 , 11.4614
2.18225 , 11.4797
2.18325 , 11.4981
2.18425 , 11.5164
2.18525 , 11.5347
2.18625 , 11.5531
2.18725 , 11.5714
2.18825 , 11.5897
2.18925 , 11.6081
2.19025 , 11.6264
2.19125 , 11.6447
2.19225 , 11.663
2.19325 , 11.6813
2.19425 , 11.6996
2.19525 , 11.7179
2.19625 , 11.7362
2.19725 , 11.7545
2.19825 , 11.7728
2.19925 , 11.7911
2.20025 , 11.8094
2.20125 , 11.8277
2.20225 , 11.8459
2.20325 , 11.8642
2.20425 , 11.8825
2.20525 , 11.9007
2.20625 , 11.919
2.20725 , 11.9372
2.20825 , 11.9555
2.20925 , 11.9737
2.21025 , 11.992
2.21125 , 12.0102
2.21225 , 12.0284
2.21325 , 12.0467
2.21425 , 12.0649
2.21525 , 12.0831
2.21625 , 12.1013
2.21725 , 12.1195
2.21825 , 12.1377
2.21925 , 12.1559
2.22025 , 12.1741
2.22125 , 12.1923
2.22225 , 12.2104
2.22325 , 12.2286
2.22425 , 12.2468
2.22525 , 12.2649
2.22625 , 12.2831
2.22725 , 12.3012
2.22825 , 12.3194
2.22925 , 12.3375
2.23025 , 12.3556
2.23125 , 12.3738
2.23225 , 12.3919
2.23325 , 12.41
2.23425 , 12.4281
2.23525 , 12.4462
2.23625 , 12.4643
2.23725 , 12.4824
2.23825 , 12.5005
2.23925 , 12.5186
2.24025 , 12.5366
2.24125 , 12.5547
2.24225 , 12.5727
2.24325 , 12.5908
2.24425 , 12.6088
2.24525 , 12.6269
2.24625 , 12.6449
2.24725 , 12.6629
2.24825 , 12.681
2.24925 , 12.699
2.25025 , 12.717
2.25125 , 12.735
2.25225 , 12.753
2.25325 , 12.771
2.25425 , 12.7889
2.25525 , 12.8069
2.25625 , 12.8249
2.25725 , 12.8428
2.25825 , 12.8608
2.25925 , 12.8787
2.26025 , 12.8966
2.26125 , 12.9146
2.26225 , 12.9325
2.26325 , 12.9504
2.26425 , 12.9683
2.26525 , 12.9862
2.26625 , 13.0041
2.26725 , 13.022
2.26825 , 13.0399
2.26925 , 13.0577
2.27025 , 13.0756
2.27125 , 13.0934
2.27225 , 13.1113
2.27325 , 13.1291
2.27425 , 13.147
2.27525 , 13.1648
2.27625 , 13.1826
2.27725 , 13.2004
2.27825 , 13.2182
2.27925 , 13.236
2.28025 , 13.2538
2.28125 , 13.2715
2.28225 , 13.2893
2.28325 , 13.3071
2.28425 , 13.3248
2.28525 , 13.3425
2.28625 , 13.3603
2.28725 , 13.378
2.28825 , 13.3957
2.28925 , 13.4134
2.29025 , 13.4311
2.29125 , 13.4488
2.29225 , 13.4665
2.29325 , 13.4842
2.29425 , 13.5018
2.29525 , 13.5195
2.29625 , 13.5371
2.29725 , 13.5548
2.29825 , 13.5724
2.29925 , 13.59
2.30025 , 13.6076
2.30125 , 13.6252
2.30225 , 13.6428
2.30325 , 13.6604
2.30425 , 13.678
2.30525 , 13.6955
2.30625 , 13.7131
2.30725 , 13.7306
2.30825 , 13.7482
2.30925 , 13.7657
2.31025 , 13.7832
2.31125 , 13.8007
2.31225 , 13.8182
2.31325 , 13.8357
2.31425 , 13.8532
2.31525 , 13.8706
2.31625 , 13.8881
2.31725 , 13.9055
2.31825 , 13.923
2.31925 , 13.9404
2.32025 , 13.9578
2.32125 , 13.9752
2.32225 , 13.9926
2.32325 , 14.01
2.32425 , 14.0274
2.32525 , 14.0448
2.32625 , 14.0621
2.32725 , 14.0795
2.32825 , 14.0968
2.32925 , 14.1142
2.33025 , 14.1315
2.33125 , 14.1488
2.33225 , 14.1661
2.33325 , 14.1834
2.33425 , 14.2007
2.33525 , 14.2179
2.33625 , 14.2352
2.33725 , 14.2524
2.33825 , 14.2697
2.33925 , 14.2869
2.34025 , 14.3041
2.34125 , 14.3213
2.34225 , 14.3385
2.34325 , 14.3557
2.34425 , 14.3728
2.34525 , 14.39
2.34625 , 14.4072
2.34725 , 14.4243
2.34825 , 14.4414
2.34925 , 14.4585
2.35025 , 14.4756
2.35125 , 14.4927
2.35225 , 14.5098
2.35325 , 14.5269
2.35425 , 14.5439
2.35525 , 14.561
2.35625 , 14.578
2.35725 , 14.5951
2.35825 , 14.6121
2.35925 , 14.6291
2.36025 , 14.6461
2.36125 , 14.663
2.36225 , 14.68
2.36325 , 14.697
2.36425 , 14.7139
2.36525 , 14.7309
2.36625 , 14.7478
2.36725 , 14.7647
2.36825 , 14.7816
2.36925 , 14.7985
2.37025 , 14.8153
2.37125 , 14.8322
2.37225 , 14.8491
2.37325 , 14.8659
2.37425 , 14.8827
2.37525 , 14.8995
2.37625 , 14.9163
2.37725 , 14.9331
2.37825 , 14.9499
2.37925 , 14.9667
2.38025 , 14.9834
2.38125 , 15.0002
2.38225 , 15.0169
2.38325 , 15.0336
2.38425 , 15.0503
2.38525 , 15.067
2.38625 , 15.0837
2.38725 , 15.1004
2.38825 , 15.117
2.38925 , 15.1337
2.39025 , 15.1503
2.39125 , 15.1669
2.39225 , 15.1835
2.39325 , 15.2001
2.39425 , 15.2167
2.39525 , 15.2333
2.39625 , 15.2498
2.39725 , 15.2663
2.39825 , 15.2829
2.39925 , 15.2994
2.40025 , 15.3159
2.40125 , 15.3324
2.40225 , 15.3489
2.40325 , 15.3653
2.40425 , 15.3818
2.40525 , 15.3982
2.40625 , 15.4146
2.40725 , 15.431
2.40825 , 15.4474
2.40925 , 15.4638
2.41025 , 15.4802
2.41125 , 15.4965
