a, Eruling, Fbend,
3.514,4.58732,11.9983,1
3.515,4.58595,12.0386,1
3.516,4.58459,12.08,1
3.517,4.58322,12.1225,1
3.518,4.58185,12.1661,1
3.519,4.58048,12.2108,1
3.52,4.57911,12.2567,1
3.521,4.57773,12.3037,1
3.522,4.57636,12.3519,1
3.523,4.57498,12.4012,1
3.524,4.5736,12.4518,1
3.525,4.57222,12.5036,1
3.526,4.57083,12.5566,1
3.527,4.56945,12.6108,1
3.528,4.56806,12.6663,1
3.529,4.56667,12.7231,1
3.53,4.56528,12.7812,1
3.531,4.56389,12.8406,1
3.532,4.56249,12.9014,1
3.533,4.5611,12.9634,1
3.534,4.5597,13.0269,1
3.535,4.5583,13.0918,1
3.536,4.5569,13.1581,1
3.537,4.55549,13.2258,1
3.538,4.55408,13.295,1
3.539,4.55268,13.3656,1
3.54,4.55127,13.4378,1
3.541,4.54985,13.5115,1
3.542,4.54844,13.5868,1
3.543,4.54703,13.6636,1
3.544,4.54561,13.7421,1
3.545,4.54419,13.8222,1
3.546,4.54277,13.904,1
3.547,4.54134,13.9875,1
3.548,4.53992,14.0727,1
3.549,4.53849,14.1597,1
3.55,4.53706,14.2484,1
3.551,4.53563,14.339,1
3.552,4.5342,14.4315,1
3.553,4.53276,14.5258,1
3.554,4.53133,14.6221,1
3.555,4.52989,14.7203,1
3.556,4.52845,14.8206,1
3.557,4.527,14.9229,1
3.558,4.52556,15.0273,1
3.559,4.52411,15.1338,1
3.56,4.52266,15.2425,1
3.561,4.52121,15.3533,1
3.562,4.51976,15.4665,1
3.563,4.51831,15.5819,1
3.564,4.51685,15.6997,1
3.565,4.51539,15.82,1
3.566,4.51393,15.9426,1
3.567,4.51247,16.0678,1
3.568,4.511,16.1955,1
3.569,4.50954,16.3259,1
3.57,4.50807,16.4589,1
3.571,4.5066,16.5946,1
3.572,4.50512,16.7332,1
3.573,4.50365,16.8746,1
3.574,4.50217,17.0189,1
3.575,4.50069,17.1662,1
3.576,4.49921,17.3166,1
3.577,4.49773,17.47,1
3.578,4.49625,17.6267,1
3.579,4.49476,17.7867,1
3.58,4.49327,17.95,1
3.581,4.49178,18.1168,1
3.582,4.49029,18.2871,1
3.583,4.48879,18.4609,1
3.584,4.48729,18.6385,1
3.585,4.4858,18.8199,1
3.586,4.48429,19.0051,1
3.587,4.48279,19.1943,1
3.588,4.48129,19.3876,1
3.589,4.47978,19.5851,1
3.59,4.47827,19.7868,1
3.591,4.47676,19.993,1
3.592,4.47524,20.2037,1
3.593,4.47373,20.419,1
3.594,4.47221,20.6391,1
3.595,4.47069,20.864,1
3.596,4.46917,21.094,1
3.597,4.46764,21.3291,1
3.598,4.46612,21.5695,1
3.599,4.46459,21.8154,1
3.6,4.46306,22.0669,1
3.601,4.46152,22.3241,1
3.602,4.45999,22.5872,1
3.603,4.45845,22.8564,1
3.604,4.45691,23.1319,1
3.605,4.45537,23.4138,1
3.606,4.45383,23.7023,1
3.607,4.45228,23.9977,1
3.608,4.45073,24.3001,1
3.609,4.44918,24.6097,1
3.61,4.44763,24.9268,1
3.611,4.44608,25.2515,1
3.612,4.44452,25.5842,1
3.613,4.44296,25.925,1
3.614,4.4414,26.2743,1
3.615,4.43984,26.6323,1
3.616,4.43827,26.9992,1
3.617,4.4367,27.3753,1
3.618,4.43513,27.761,1
3.619,4.43356,28.1566,1
3.62,4.43199,28.5623,1
3.621,4.43041,28.9786,1
3.622,4.42883,29.4057,1
3.623,4.42725,29.8441,1
3.624,4.42567,30.294,1
3.625,4.42408,30.756,1
3.626,4.4225,31.2305,1
3.627,4.42091,31.7178,1
3.628,4.41931,32.2184,1
3.629,4.41772,32.7328,1
3.63,4.41612,33.2615,1
3.631,4.41452,33.805,1
3.632,4.41292,34.3638,1
3.633,4.41132,34.9386,1
3.634,4.40971,35.5299,1
3.635,4.40811,36.1383,1
3.636,4.4065,36.7645,1
3.637,4.40488,37.4092,1
3.638,4.40327,38.073,1
3.639,4.40165,38.7568,1
3.64,4.40003,39.4612,1
3.641,4.39841,40.1873,1
3.642,4.39679,40.9357,1
3.643,4.39516,41.7074,1
3.644,4.39353,42.5035,1
3.645,4.3919,43.3248,1
3.646,4.39027,44.1725,1
3.647,4.38863,45.0476,1
3.648,4.38699,45.9515,1
3.649,4.38535,46.8852,1
3.65,4.38371,47.8501,1
3.651,4.38206,48.8476,1
3.652,4.38042,49.8792,1
3.653,4.37877,50.9463,1
3.654,4.37711,52.0507,1
3.655,4.37546,53.1941,1
3.656,4.3738,54.3782,1
3.657,4.37214,55.6051,1
3.658,4.37048,56.8767,1
3.659,4.36882,58.1953,1
3.66,4.36715,59.5632,1
3.661,4.36548,60.9828,1
3.662,4.36381,62.4568,1
3.663,4.36213,63.9878,1
3.664,4.36046,65.579,1
3.665,4.35878,67.2334,1
3.666,4.3571,68.9544,1
3.667,4.35541,70.7456,1
3.668,4.35373,72.6108,1
3.669,4.35204,74.5541,1
3.67,4.35035,76.5799,1
3.671,4.34865,78.693,1
3.672,4.34696,80.8982,1
3.673,4.34526,83.2012,1
3.674,4.34356,85.6076,1
3.675,4.34186,88.1237,1
3.676,4.34015,90.7562,1
3.677,4.33844,93.5124,1
3.678,4.33673,96.4,1
3.679,4.33502,99.4277,1
3.68,4.3333,102.604,1
3.681,4.33158,105.94,1
3.682,4.32986,109.445,1
3.683,4.32814,113.132,1
3.684,4.32641,117.013,1
3.685,4.32468,121.101,1
3.686,4.32295,125.412,1
3.687,4.32122,129.962,1
3.688,4.31948,134.77,1
3.689,4.31774,139.854,1
3.69,4.316,145.237,1
3.691,4.31426,150.941,1
3.692,4.31251,156.994,1
3.693,4.31076,163.423,1
3.694,4.30901,170.262,1
3.695,4.30726,177.544,1
3.696,4.3055,185.309,1
3.697,4.30374,193.602,1
3.698,4.30198,202.469,1
3.699,4.30022,211.966,1
3.7,4.29774,229.785,1
3.701,4.29443,240.682,1
3.702,4.29112,252.416,1
3.703,4.2878,265.073,1
3.704,4.28448,278.751,1
3.705,4.28116,293.564,1
3.706,4.27783,309.639,1
3.707,4.27451,327.122,1
3.708,4.27117,346.182,1
3.709,4.26784,367.014,1
3.71,4.2645,389.843,1
3.711,4.26115,414.931,1
3.712,4.2578,442.585,1
3.713,4.25445,473.165,1
3.714,4.2511,507.098,1
3.715,4.24774,544.891,1
3.716,4.24438,587.15,1
3.717,4.24101,634.604,1
3.718,4.23764,688.14,1
3.719,4.23427,748.839,1
3.72,4.23089,818.035,1
3.721,4.22751,897.388,1
3.722,4.22413,988.983,1
3.723,4.22074,1095.47,1
3.724,4.21735,1220.25,1
3.725,4.21396,1367.76,1
3.726,4.21056,1543.87,1
3.727,4.20716,1756.47,1
3.728,4.20375,2016.36,1
3.729,4.20034,2338.67,1
3.73,4.19693,2745.08,1
3.731,4.19352,3267.57,1
3.732,4.1901,3954.94,1
3.733,4.18667,4884.51,1
3.734,4.18325,6184.94,1
3.735,4.17982,8083.14,1
3.736,4.17639,11010.3,1
3.737,4.17295,15870.1,1
3.738,4.16951,24828.9,1
3.739,4.16606,44223.5,1
3.74,4.16262,99833.3,1
3.741,4.15917,402902,1
3.742,4.15571,5.84E+09,1
3.743,4.15225,390370,1
3.744,4.14879,98468.7,1
3.745,4.14533,43918.7,1
3.746,4.14186,24759,1
