a, Fruling, Fbend
3.72859,4.20173,2198.64
3.72959,4.19832,2567.62
3.73059,4.19491,3038.08
3.73159,4.19149,3650.92
3.73259,4.18807,4469.91
3.73359,4.18464,5598.95
3.73459,4.18122,7216.69
3.73559,4.17778,9651.7
3.73659,4.17435,13563.4
3.73759,4.17091,20439.6
3.73859,4.16747,34251.9
3.73959,4.16402,68793.8
3.74059,4.16057,202396
3.74159,4.15712,2.49E+06
3.74259,4.15366,1.10E+06
3.74359,4.1502,154907
3.74459,4.14674,58733.6
3.74559,4.14327,30666.8
3.74659,4.1398,18801
3.74759,4.13633,12698.3
3.74859,4.13285,9151.05
3.74959,4.12937,6908.45
3.75059,4.12589,5401.01
3.75159,4.1224,4339.2
3.75259,4.11891,3563.17
3.75359,4.11542,2978.82
3.75459,4.11192,2527.83
3.75559,4.10842,2172.49
3.75659,4.10491,1887.52
3.75759,4.1014,1655.48
3.75859,4.09789,1464.04
3.75959,4.09438,1304.23
3.76059,4.09086,1169.44
3.76159,4.08734,1054.71
3.76259,4.08381,956.239
3.76359,4.08028,871.093
3.76459,4.07675,796.969
3.76559,4.07322,732.041
3.76659,4.06968,674.846
3.76759,4.06613,624.201
3.76859,4.06259,579.141
3.76959,4.05904,538.874
3.77059,4.05549,502.741
3.77159,4.05193,470.194
3.77259,4.04837,440.774
3.77359,4.04481,414.09
3.77459,4.04124,389.814
3.77559,4.03767,367.663
3.77659,4.0341,347.396
3.77759,4.03053,328.804
3.77859,4.02695,311.708
3.77959,4.02336,295.95
3.78059,4.01978,281.394
3.78159,4.01619,267.921
3.78259,4.0126,255.425
3.78359,4.009,243.814
3.78459,4.0054,233.006
3.78559,4.0018,222.928
3.78659,3.99819,213.515
3.78759,3.99458,204.711
3.78859,3.99097,196.463
3.78959,3.98735,188.726
3.79059,3.98373,181.457
3.79159,3.98011,174.62
3.79259,3.97649,168.181
3.79359,3.97286,162.11
3.79459,3.96922,156.378
3.79559,3.96559,150.962
3.79659,3.96195,145.837
3.79759,3.95831,140.984
3.79859,3.95466,136.383
3.79959,3.95101,132.017
3.80059,3.94736,127.871
3.80159,3.94371,123.929
3.80259,3.94005,120.179
3.80359,3.93638,116.607
3.80459,3.93272,113.204
3.80559,3.92905,109.957
3.80659,3.92538,106.859
3.80759,3.9217,103.899
3.80859,3.91803,101.07
3.80959,3.91434,98.3638
3.81059,3.91066,95.7735
3.81159,3.90697,93.2925
3.81259,3.90328,90.9147
3.81359,3.89959,88.6344
3.81459,3.89589,86.4462
3.81559,3.89219,84.3452
3.81659,3.88848,82.3269
3.81759,3.88478,80.3868
3.81859,3.88107,78.521
3.81959,3.87735,76.7257
3.82059,3.87363,74.9972
3.82159,3.86991,73.3324
3.82259,3.86619,71.7281
3.82359,3.86246,70.1813
3.82459,3.85873,68.6893
3.82559,3.855,67.2496
3.82659,3.85127,65.8596
3.82759,3.84753,64.5171
3.82859,3.84378,63.2199
3.82959,3.84004,61.966
3.83059,3.83629,60.7534
3.83159,3.83254,59.5804
3.83259,3.82878,58.4451
3.83359,3.82502,57.346
3.83459,3.82126,56.2816
3.83559,3.8175,55.2503
3.83659,3.81373,54.2508
3.83759,3.80996,53.2818
3.83859,3.80618,52.342
3.83959,3.80241,51.4302
3.84059,3.79862,50.5454
3.84159,3.79484,49.6864
3.84259,3.79105,48.8523
3.84359,3.78726,48.042
3.84459,3.78347,47.2548
3.84559,3.77967,46.4896
3.84659,3.77587,45.7456
3.84759,3.77207,45.0221
3.84859,3.76827,44.3184
3.84959,3.76446,43.6336
3.85059,3.76064,42.9671
3.85159,3.75683,42.3182
3.85259,3.75301,41.6864
3.85359,3.74919,41.0709
3.85459,3.74537,40.4713
3.85559,3.74154,39.887
3.85659,3.73771,39.3174
3.85759,3.73387,38.7621
3.85859,3.73004,38.2206
3.85959,3.7262,37.6924
3.86059,3.72235,37.1771
3.86159,3.71851,36.6742
3.86259,3.71466,36.1834
3.86359,3.7108,35.7042
3.86459,3.70695,35.2363
3.86559,3.70309,34.7793
3.86659,3.69923,34.3329
3.86759,3.69536,33.8968
3.86859,3.69149,33.4706
3.86959,3.68762,33.054
3.87059,3.68375,32.6467
3.87159,3.67987,32.2485
3.87259,3.67599,31.859
3.87359,3.67211,31.4781
3.87459,3.66822,31.1055
3.87559,3.66433,30.7408
3.87659,3.66044,30.3839
3.87759,3.65654,30.0346
3.87859,3.65265,29.6927
3.87959,3.64874,29.3579
3.88059,3.64484,29.03
3.88159,3.64093,28.7088
3.88259,3.63702,28.3942
3.88359,3.63311,28.086
3.88459,3.62919,27.7839
3.88559,3.62527,27.4879
3.88659,3.62134,27.1978
3.88759,3.61742,26.9133
3.88859,3.61349,26.6344
3.88959,3.60956,26.3609
3.89059,3.60562,26.0927
3.89159,3.60168,25.8296
3.89259,3.59774,25.5715
3.89359,3.5938,25.3182
3.89459,3.58985,25.0697
3.89559,3.5859,24.8258
3.89659,3.58194,24.5864
3.89759,3.57799,24.3514
3.89859,3.57403,24.1207
3.89959,3.57006,23.8942
3.90059,3.5661,23.6717
3.90159,3.56213,23.4532
3.90259,3.55816,23.2386
3.90359,3.55418,23.0277
3.90459,3.55021,22.8206
3.90559,3.54622,22.617
3.90659,3.54224,22.417
3.90759,3.53825,22.2204
3.90859,3.53426,22.0271
3.90959,3.53027,21.8372
3.91059,3.52627,21.6504
3.91159,3.52228,21.4668
3.91259,3.51827,21.2862
3.91359,3.51427,21.1086
3.91459,3.51026,20.9339
3.91559,3.50625,20.7621
3.91659,3.50224,20.5931
3.91759,3.49822,20.4268
3.91859,3.4942,20.2632
3.91959,3.49017,20.1021
3.92059,3.48615,19.9437
3.92159,3.48212,19.7877
3.92259,3.47809,19.6342
3.92359,3.47405,19.4831
3.92459,3.47001,19.3343
3.92559,3.46597,19.1878
3.92659,3.46193,19.0436
3.92759,3.45788,18.9016
3.92859,3.45383,18.7617
3.92959,3.44978,18.6239
3.93059,3.44572,18.4882
3.93159,3.44166,18.3545
3.93259,3.4376,18.2228
3.93359,3.43354,18.0931
3.93459,3.42947,17.9652
3.93559,3.4254,17.8392
3.93659,3.42132,17.715
3.93759,3.41725,17.5927
3.93859,3.41317,17.4721
3.93959,3.40908,17.3532
3.94059,3.405,17.236
3.94159,3.40091,17.1204
3.94259,3.39682,17.0065
3.94359,3.39272,16.8942
3.94459,3.38862,16.7835
3.94559,3.38452,16.6742
3.94659,3.38042,16.5665
3.94759,3.37631,16.4603
3.94859,3.3722,16.3555
3.94959,3.36809,16.2521
3.95059,3.36397,16.1502
3.95159,3.35986,16.0496
3.95259,3.35573,15.9503
3.95359,3.35161,15.8524
3.95459,3.34748,15.7558
3.95559,3.34335,15.6604
3.95659,3.33922,15.5663
3.95759,3.33508,15.4735
3.95859,3.33094,15.3818
3.95959,3.3268,15.2913
3.96059,3.32265,15.202
3.96159,3.3185,15.1139
3.96259,3.31435,15.0268
3.96359,3.3102,14.9409
3.96459,3.30604,14.8561
3.96559,3.30188,14.7723
3.96659,3.29772,14.6896
3.96759,3.29355,14.6079
3.96859,3.28938,14.5272
3.96959,3.28521,14.4476
3.97059,3.28103,14.3689
3.97159,3.27686,14.2912
3.97259,3.27267,14.2144
3.97359,3.26849,14.1386
3.97459,3.2643,14.0637
3.97559,3.26011,13.9897
3.97659,3.25592,13.9166
3.97759,3.25172,13.8443
3.97859,3.24753,13.7729
3.97959,3.24332,13.7024
3.98059,3.23912,13.6327
3.98159,3.23491,13.5638
3.98259,3.2307,13.4958
3.98359,3.22649,13.4285
3.98459,3.22227,13.362
3.98559,3.21805,13.2963
3.98659,3.21383,13.2314
3.98759,3.2096,13.1672
3.98859,3.20537,13.1037
3.98959,3.20114,13.0409
3.99059,3.1969,12.9789
3.99159,3.19267,12.9176
3.99259,3.18843,12.857
3.99359,3.18418,12.797
3.99459,3.17993,12.7377
3.99559,3.17569,12.6791
3.99659,3.17143,12.6212
3.99759,3.16718,12.5638
3.99859,3.16292,12.5072
3.99959,3.15866,12.4511
4.00059,3.15439,12.3957
4.00159,3.15012,12.3408
4.00259,3.14585,12.2866
4.00359,3.14158,12.2329
4.00459,3.1373,12.1799
4.00559,3.13302,12.1274
4.00659,3.12874,12.0755
4.00759,3.12446,12.0241
4.00859,3.12017,11.9733
4.00959,3.11588,11.923
4.01059,3.11158,11.8732
4.01159,3.10728,11.824
4.01259,3.10298,11.7753
4.01359,3.09868,11.7271
4.01459,3.09437,11.6794
4.01559,3.09006,11.6323
4.01659,3.08575,11.5856
4.01759,3.08143,11.5394
4.01859,3.07712,11.4936
4.01959,3.07279,11.4484
4.02059,3.06847,11.4036
4.02159,3.06414,11.3593
4.02259,3.05981,11.3154
4.02359,3.05548,11.272
4.02459,3.05114,11.229
4.02559,3.0468,11.1864
4.02659,3.04246,11.1443
4.02759,3.03811,11.1026
4.02859,3.03376,11.0614
4.02959,3.02941,11.0205
4.03059,3.02506,10.9801
4.03159,3.0207,10.94
4.03259,3.01634,10.9004
4.03359,3.01197,10.8611
4.03459,3.00761,10.8223
4.03559,3.00324,10.7838
4.03659,2.99886,10.7457
4.03759,2.99449,10.708
4.03859,2.99011,10.6706
4.03959,2.98573,10.6336
4.04059,2.98134,10.597
4.04159,2.97695,10.5607
4.04259,2.97256,10.5248
4.04359,2.96817,10.4893
4.04459,2.96377,10.4541
4.04559,2.95937,10.4192
4.04659,2.95497,10.3846
4.04759,2.95056,10.3504
4.04859,2.94615,10.3165
4.04959,2.94174,10.283
4.05059,2.93732,10.2497
4.05159,2.9329,10.2168
4.05259,2.92848,10.1842
4.05359,2.92406,10.1519
4.05459,2.91963,10.1199
4.05559,2.9152,10.0882
4.05659,2.91076,10.0569
4.05759,2.90632,10.0258
4.05859,2.90188,9.99497
4.05959,2.89744,9.96446
4.06059,2.89299,9.93424
4.06159,2.88854,9.9043
4.06259,2.88409,9.87464
4.06359,2.87963,9.84526
4.06459,2.87518,9.81615
4.06559,2.87071,9.78731
4.06659,2.86625,9.75874
4.06759,2.86178,9.73044
4.06859,2.85731,9.7024
4.06959,2.85283,9.67461
4.07059,2.84836,9.64709
4.07159,2.84387,9.61981
4.07259,2.83939,9.59279
4.07359,2.8349,9.56602
4.07459,2.83041,9.53949
4.07559,2.82592,9.51321
4.07659,2.82142,9.48717
4.07759,2.81692,9.46136
4.07859,2.81242,9.43579
4.07959,2.80791,9.41046
4.08059,2.8034,9.38536
4.08159,2.79889,9.36048
4.08259,2.79438,9.33583
4.08359,2.78986,9.31141
4.08459,2.78534,9.28721
4.08559,2.78081,9.26322
4.08659,2.77628,9.23946
4.08759,2.77175,9.21591
