a(radian),a(degree),Eruling, Ebend
0.337,19.3087, 9.09764, 19.5853, 1
0.338,19.366, 9.09873, 19.5302, 1
0.339,19.4233, 9.09982, 19.4773, 1
0.34,19.4806, 9.10092, 19.4267, 1
0.341,19.5379, 9.10201, 19.3783, 1
0.342,19.5952, 9.10311, 19.3321, 1
0.343,19.6525, 9.10421, 19.2881, 1
0.344,19.7097, 9.10531, 19.2462, 1
0.345,19.767, 9.10641, 19.2066, 1
0.346,19.8243, 9.10751, 19.1691, 1
0.347,19.8816, 9.10862, 19.1337, 1
0.348,19.9389, 9.10972, 19.1004, 1
0.349,19.9962, 9.11083, 19.0692, 1
0.35,20.0535, 9.11194, 19.0402, 1
0.351,20.1108, 9.11306, 19.0132, 1
0.352,20.1681, 9.11417, 18.9883, 1
0.353,20.2254, 9.11529, 18.9655, 1
0.354,20.2827, 9.1164, 18.9448, 1
0.355,20.34, 9.11752, 18.9261, 1
0.356,20.3973, 9.11864, 18.9095, 1
0.357,20.4546, 9.11977, 18.895, 1
0.358,20.5119, 9.12089, 18.8824, 1
0.359,20.5692, 9.12202, 18.872, 1
0.36,20.6265, 9.12315, 18.8636, 1
0.361,20.6838, 9.12428, 18.8572, 1
0.362,20.7411, 9.12541, 18.8529, 1
0.363,20.7984, 9.12655, 18.8506, 1
0.364,20.8557, 9.12768, 18.8504, 1
0.365,20.913, 9.12882, 18.8522, 1
0.366,20.9703, 9.12996, 18.8561, 1
0.367,21.0276, 9.13111, 18.8621, 1
0.368,21.0848, 9.13225, 18.8701, 1
0.369,21.1421, 9.1334, 18.8802, 1
0.37,21.1994, 9.13454, 18.8924, 1
0.371,21.2567, 9.13569, 18.9066, 1
0.372,21.314, 9.13685, 18.923, 1
0.373,21.3713, 9.138, 18.9415, 1
0.374,21.4286, 9.13915, 18.962, 1
0.375,21.4859, 9.14031, 18.9847, 1
0.376,21.5432, 9.14147, 19.0096, 1
0.377,21.6005, 9.14263, 19.0366, 1
0.378,21.6578, 9.1438, 19.0658, 1
0.379,21.7151, 9.14496, 19.0972, 1
0.38,21.7724, 9.14613, 19.1307, 1
0.381,21.8297, 9.1473, 19.1665, 1
0.382,21.887, 9.14847, 19.2045, 1
0.383,21.9443, 9.14964, 19.2448, 1
0.384,22.0016, 9.15082, 19.2874, 1
0.385,22.0589, 9.152, 19.3322, 1
0.386,22.1162, 9.15318, 19.3794, 1
0.387,22.1735, 9.15436, 19.429, 1
0.388,22.2308, 9.15554, 19.4809, 1
0.389,22.2881, 9.15673, 19.5352, 1
0.39,22.3454, 9.15792, 19.5919, 1
0.391,22.4026, 9.15911, 19.6511, 1
0.392,22.4599, 9.1603, 19.7128, 1
0.393,22.5172, 9.16149, 19.777, 1
0.394,22.5745, 9.16269, 19.8437, 1
0.395,22.6318, 9.16388, 19.913, 1
0.396,22.6891, 9.16508, 19.985, 1
0.397,22.7464, 9.16629, 20.0596, 1
0.398,22.8037, 9.16749, 20.1369, 1
0.399,22.861, 9.1687, 20.2169, 1
0.4,22.9183, 9.16991, 20.2997, 1
0.401,22.9756, 9.17112, 20.3853, 1
0.402,23.0329, 9.17233, 20.4738, 1
0.403,23.0902, 9.17354, 20.5652, 1
0.404,23.1475, 9.17476, 20.6596, 1
0.405,23.2048, 9.17598, 20.7569, 1
0.406,23.2621, 9.1772, 20.8574, 1
0.407,23.3194, 9.17842, 20.9609, 1
0.408,23.3767, 9.17965, 21.0676, 1
0.409,23.434, 9.18088, 21.1776, 1
0.41,23.4913, 9.18211, 21.2908, 1
0.411,23.5486, 9.18334, 21.4074, 1
0.412,23.6059, 9.18457, 21.5273, 1
0.413,23.6632, 9.18581, 21.6508, 1
0.414,23.7205, 9.18705, 21.7778, 1
0.415,23.7777, 9.18829, 21.9085, 1
0.416,23.835, 9.18953, 22.0428, 1
0.417,23.8923, 9.19078, 22.1809, 1
0.418,23.9496, 9.19203, 22.3229, 1
0.419,24.0069, 9.19328, 22.4688, 1
0.42,24.0642, 9.19453, 22.6187, 1
0.421,24.1215, 9.19578, 22.7727, 1
0.422,24.1788, 9.19704, 22.9309, 1
0.423,24.2361, 9.1983, 23.0934, 1
0.424,24.2934, 9.19956, 23.2603, 1
0.425,24.3507, 9.20082, 23.4317, 1
0.426,24.408, 9.20209, 23.6077, 1
0.427,24.4653, 9.20336, 23.7884, 1
0.428,24.5226, 9.20463, 23.974, 1
0.429,24.5799, 9.2059, 24.1645, 1
0.43,24.6372, 9.20717, 24.36, 1
0.431,24.6945, 9.20845, 24.5607, 1
0.432,24.7518, 9.20973, 24.7668, 1
0.433,24.8091, 9.21101, 24.9783, 1
0.434,24.8664, 9.2123, 25.1954, 1
0.435,24.9237, 9.21358, 25.4183, 1
0.436,24.981, 9.21487, 25.6471, 1
0.437,25.0383, 9.21616, 25.8819, 1
0.438,25.0956, 9.21746, 26.1229, 1
