a, Eruling, Ebend
3.88659 , 268.974, 2444.97
3.88759 , 268.569, 2170.9
3.88859 , 268.172, 1944.24
3.88959 , 267.782, 1754.73
3.89059 , 267.401, 1594.76
3.89159 , 267.026, 1458.57
3.89259 , 266.658, 1341.74
3.89359 , 266.297, 1240.86
3.89459 , 265.942, 1153.21
3.89559 , 265.593, 1076.66
3.89659 , 265.249, 1009.49
3.89759 , 264.911, 950.298
3.89859 , 264.579, 897.944
3.89959 , 264.251, 851.493
3.90059 , 263.929, 810.166
3.90159 , 263.611, 773.316
3.90259 , 263.297, 740.399
3.90359 , 262.988, 710.956
3.90459 , 262.683, 684.6
3.90559 , 262.382, 661.001
3.90659 , 262.085, 639.877
3.90759 , 261.792, 620.987
3.90859 , 261.502, 604.125
3.90959 , 261.216, 589.115
3.91059 , 260.933, 575.803
3.91159 , 260.653, 564.059
3.91259 , 260.376, 553.771
3.91359 , 260.102, 544.843
3.91459 , 259.831, 537.195
3.91559 , 259.563, 530.757
3.91659 , 259.298, 525.472
3.91759 , 259.035, 521.295
3.91859 , 258.774, 518.187
3.91959 , 258.516, 516.121
3.92059 , 258.26, 515.077
3.92159 , 258.007, 515.044
3.92259 , 257.755, 516.018
3.92359 , 257.506, 518.002
3.92459 , 257.259, 521.008
3.92559 , 257.013, 525.056
3.92659 , 256.77, 530.174
3.92759 , 256.528, 536.399
3.92859 , 256.288, 543.775
3.92959 , 256.05, 552.36
3.93059 , 255.813, 562.219
3.93159 , 255.578, 573.432
3.93259 , 255.344, 586.091
3.93359 , 255.112, 600.303
3.93459 , 254.881, 616.194
3.93559 , 254.652, 633.909
3.93659 , 254.424, 653.615
3.93759 , 254.197, 675.506
3.93859 , 253.972, 699.808
3.93959 , 253.747, 726.783
3.94059 , 253.524, 756.734
3.94159 , 253.302, 790.018
3.94259 , 253.081, 827.052
3.94359 , 252.861, 868.326
3.94459 , 252.642, 914.421
3.94559 , 252.424, 966.025
3.94659 , 252.207, 1023.96
3.94759 , 251.991, 1089.22
3.94859 , 251.775, 1163
3.94959 , 251.561, 1246.76
3.95059 , 251.347, 1342.28
3.95159 , 251.134, 1451.79
3.95259 , 250.922, 1578.07
3.95359 , 250.711, 1724.61
3.95459 , 250.5, 1895.91
3.95559 , 250.29, 2097.76
3.95659 , 250.08, 2337.77
3.95759 , 249.871, 2626.09
3.95859 , 249.663, 2976.51
3.95959 , 249.455, 3408.07
3.96059 , 249.248, 3947.79
3.96159 , 249.041, 4634.91
3.96259 , 248.835, 5528.26
3.96359 , 248.629, 6719.26
3.96459 , 248.424, 8356.21
3.96559 , 248.219, 10692.8
3.96659 , 248.014, 14192.5
3.96759 , 247.81, 19777.2
3.96859 , 247.606, 29502.6
3.96959 , 247.403, 48759.1
3.97059 , 247.2, 95728.6
3.97159 , 246.997, 267572
3.97259 , 246.795, 2.49335e+06
3.97359 , 246.592, 2.25088e+06
3.97459 , 246.39, 258954
3.97559 , 246.189, 94021.4
3.97659 , 245.987, 48223
3.97759 , 245.786, 29306
3.97859 , 245.585, 19709.1
3.97959 , 245.384, 14181.4
3.98059 , 245.183, 10709.6
3.98159 , 244.983, 8387.82
3.98259 , 244.782, 6759.07
3.98359 , 244.582, 5572.86
