a(radian), a(degree) , Eruling, Ebend, Ebend
3.56059, 204.007 , 65.2581, 467.966, 1
3.56159, 204.064 , 65.2482, 497.199, 1
3.56259, 204.122 , 65.2383, 529.411, 1
3.56359, 204.179 , 65.2283, 565.03, 1
3.56459, 204.236 , 65.2184, 604.565, 1
3.56559, 204.293 , 65.2083, 648.626, 1
3.56659, 204.351 , 65.1983, 697.946, 1
3.56759, 204.408 , 65.1882, 753.42, 1
3.56859, 204.465 , 65.1781, 816.142, 1
3.56959, 204.523 , 65.168, 887.467, 1
3.57059, 204.58 , 65.1578, 969.09, 1
3.57159, 204.637 , 65.1476, 1063.15, 1
3.57259, 204.694 , 65.1374, 1172.4, 1
3.57359, 204.752 , 65.1272, 1300.39, 1
3.57459, 204.809 , 65.1169, 1451.81, 1
3.57559, 204.866 , 65.1066, 1632.96, 1
3.57659, 204.924 , 65.0962, 1852.46, 1
3.57759, 204.981 , 65.0859, 2122.34, 1
3.57859, 205.038 , 65.0755, 2459.92, 1
3.57959, 205.096 , 65.065, 2890.78, 1
3.58059, 205.153 , 65.0546, 3454.16, 1
3.58159, 205.21 , 65.0441, 4212.81, 1
3.58259, 205.267 , 65.0335, 5272.36, 1
3.58359, 205.325 , 65.023, 6822.41, 1
3.58459, 205.382 , 65.0124, 9232.23, 1
3.58559, 205.439 , 65.0018, 13303.6, 1
3.58659, 205.497 , 64.9911, 21063, 1
3.58759, 205.554 , 64.9805, 38965, 1
3.58859, 205.611 , 64.9698, 97834.9, 1
3.58959, 205.669 , 64.959, 600894, 1
3.59059, 205.726 , 64.9482, 2.46702e+06, 1
3.59159, 205.783 , 64.9374, 154648, 1
3.59259, 205.84 , 64.9266, 52761.9, 1
3.59359, 205.898 , 64.9158, 28287.4, 1
3.59459, 205.955 , 64.9049, 19560.4, 1
3.59559, 206.012 , 64.8939, 16496.1, 1
3.59659, 206.07 , 64.883, 16720.5, 1
3.59759, 206.127 , 64.872, 20412.7, 1
3.59859, 206.184 , 64.861, 30641.7, 1
3.59959, 206.241 , 64.8499, 60709, 1
3.60059, 206.299 , 64.8388, 205659, 1
3.60159, 206.356 , 64.8277, 1.35286e+07, 1
3.60259, 206.413 , 64.8166, 358835, 1
3.60359, 206.471 , 64.8054, 77968.1, 1
3.60459, 206.528 , 64.7942, 33698, 1
3.60559, 206.585 , 64.7829, 18956.9, 1
3.60659, 206.643 , 64.7717, 12267.7, 1
3.60759, 206.7 , 64.7604, 8657.24, 1
3.60859, 206.757 , 64.749, 6478.28, 1
3.60959, 206.814 , 64.7377, 5056.48, 1
3.61059, 206.872 , 64.7263, 4073.73, 1
3.61159, 206.929 , 64.7148, 3363.76, 1
3.61259, 206.986 , 64.7034, 2832.63, 1
3.61359, 207.044 , 64.6919, 2423.9, 1
3.61459, 207.101 , 64.6803, 2101.95, 1
3.61559, 207.158 , 64.6688, 1843.36, 1
3.61659, 207.215 , 64.6572, 1632.2, 1
3.61759, 207.273 , 64.6456, 1457.29, 1
3.61859, 207.33 , 64.6339, 1310.62, 1
3.61959, 207.387 , 64.6222, 1186.29, 1
3.62059, 207.445 , 64.6105, 1079.9, 1
3.62159, 207.502 , 64.5987, 988.072, 1
3.62259, 207.559 , 64.5869, 908.223, 1
3.62359, 207.617 , 64.5751, 838.316, 1
3.62459, 207.674 , 64.5633, 776.736, 1
3.62559, 207.731 , 64.5514, 722.189, 1
3.62659, 207.788 , 64.5395, 673.627, 1
3.62759, 207.846 , 64.5275, 630.192, 1
3.62859, 207.903 , 64.5155, 591.177, 1
3.62959, 207.96 , 64.5035, 555.994, 1
3.63059, 208.018 , 64.4914, 524.154, 1
3.63159, 208.075 , 64.4794, 495.24, 1
3.63259, 208.132 , 64.4672, 468.904, 1
3.63359, 208.19 , 64.4551, 444.845, 1
3.63459, 208.247 , 64.4429, 422.807, 1
3.63559, 208.304 , 64.4307, 402.57, 1
3.63659, 208.361 , 64.4184, 383.943, 1
3.63759, 208.419 , 64.4061, 366.76, 1
3.63859, 208.476 , 64.3938, 350.876, 1
3.63959, 208.533 , 64.3815, 336.166, 1
3.64059, 208.591 , 64.3691, 322.516, 1
3.64159, 208.648 , 64.3566, 309.83, 1
3.64259, 208.705 , 64.3442, 298.021, 1
3.64359, 208.762 , 64.3317, 287.01, 1
3.64459, 208.82 , 64.3192, 276.73, 1
3.64559, 208.877 , 64.3066, 267.12, 1
3.64659, 208.934 , 64.294, 258.123, 1
3.64759, 208.992 , 64.2814, 249.692, 1
3.64859, 209.049 , 64.2687, 241.782, 1
3.64959, 209.106 , 64.256, 234.354, 1
3.65059, 209.164 , 64.2433, 227.37, 1
3.65159, 209.221 , 64.2305, 220.799, 1
3.65259, 209.278 , 64.2177, 214.611, 1
3.65359, 209.335 , 64.2049, 208.779, 1
3.65459, 209.393 , 64.192, 203.279, 1
3.65559, 209.45 , 64.1791, 198.088, 1
3.65659, 209.507 , 64.1662, 193.186, 1
3.65759, 209.565 , 64.1532, 188.555, 1
3.65859, 209.622 , 64.1402, 184.177, 1
3.65959, 209.679 , 64.1272, 180.037, 1
3.66059, 209.737 , 64.1141, 176.121, 1
3.66159, 209.794 , 64.101, 172.415, 1
3.66259, 209.851 , 64.0878, 168.906, 1
3.66359, 209.908 , 64.0746, 165.585, 1
3.66459, 209.966 , 64.0614, 162.44, 1
3.66559, 210.023 , 64.0481, 159.463, 1
3.66659, 210.08 , 64.0348, 156.643, 1
3.66759, 210.138 , 64.0215, 153.974, 1
3.66859, 210.195 , 64.0081, 151.447, 1
3.66959, 210.252 , 63.9947, 149.056, 1
3.67059, 210.309 , 63.9813, 146.793, 1
3.67159, 210.367 , 63.9678, 144.654, 1
3.67259, 210.424 , 63.9543, 142.632, 1
3.67359, 210.481 , 63.9408, 140.722, 1
3.67459, 210.539 , 63.9272, 138.92, 1
3.67559, 210.596 , 63.9136, 137.221, 1
3.67659, 210.653 , 63.8999, 135.621, 1
3.67759, 210.711 , 63.8862, 134.116, 1
3.67859, 210.768 , 63.8725, 132.702, 1
3.67959, 210.825 , 63.8587, 131.376, 1
3.68059, 210.882 , 63.8449, 130.136, 1
3.68159, 210.94 , 63.8311, 128.977, 1
3.68259, 210.997 , 63.8172, 127.899, 1
3.68359, 211.054 , 63.8033, 126.897, 1
3.68459, 211.112 , 63.7894, 125.97, 1
