a(radian),a(degree),Eruling, Ebend
0.382,21.887, 83.4579, 14.8286, 1
0.383,21.9443, 83.4516, 14.7725, 1
0.384,22.0016, 83.4453, 14.7168, 1
0.385,22.0589, 83.4389, 14.6614, 1
0.386,22.1162, 83.4325, 14.6063, 1
0.387,22.1735, 83.4261, 14.5517, 1
0.388,22.2308, 83.4197, 14.4974, 1
0.389,22.2881, 83.4133, 14.4434, 1
0.39,22.3454, 83.4069, 14.3898, 1
0.391,22.4026, 83.4004, 14.3365, 1
0.392,22.4599, 83.394, 14.2836, 1
0.393,22.5172, 83.3875, 14.231, 1
0.394,22.5745, 83.381, 14.1787, 1
0.395,22.6318, 83.3745, 14.1268, 1
0.396,22.6891, 83.368, 14.0752, 1
0.397,22.7464, 83.3614, 14.0239, 1
0.398,22.8037, 83.3549, 13.9729, 1
0.399,22.861, 83.3483, 13.9223, 1
0.4,22.9183, 83.3417, 13.872, 1
0.401,22.9756, 83.3351, 13.822, 1
0.402,23.0329, 83.3285, 13.7723, 1
0.403,23.0902, 83.3219, 13.7229, 1
0.404,23.1475, 83.3153, 13.6738, 1
0.405,23.2048, 83.3086, 13.625, 1
0.406,23.2621, 83.3019, 13.5766, 1
0.407,23.3194, 83.2952, 13.5284, 1
0.408,23.3767, 83.2885, 13.4805, 1
0.409,23.434, 83.2818, 13.4329, 1
0.41,23.4913, 83.2751, 13.3856, 1
0.411,23.5486, 83.2683, 13.3386, 1
0.412,23.6059, 83.2616, 13.2919, 1
0.413,23.6632, 83.2548, 13.2455, 1
0.414,23.7205, 83.248, 13.1993, 1
0.415,23.7777, 83.2412, 13.1534, 1
0.416,23.835, 83.2344, 13.1078, 1
0.417,23.8923, 83.2276, 13.0625, 1
0.418,23.9496, 83.2207, 13.0175, 1
0.419,24.0069, 83.2138, 12.9727, 1
0.42,24.0642, 83.207, 12.9282, 1
0.421,24.1215, 83.2001, 12.8839, 1
0.422,24.1788, 83.1931, 12.8399, 1
0.423,24.2361, 83.1862, 12.7962, 1
0.424,24.2934, 83.1793, 12.7527, 1
0.425,24.3507, 83.1723, 12.7095, 1
0.426,24.408, 83.1653, 12.6666, 1
0.427,24.4653, 83.1584, 12.6239, 1
0.428,24.5226, 83.1513, 12.5814, 1
0.429,24.5799, 83.1443, 12.5392, 1
0.43,24.6372, 83.1373, 12.4973, 1
0.431,24.6945, 83.1302, 12.4556, 1
0.432,24.7518, 83.1232, 12.4141, 1
0.433,24.8091, 83.1161, 12.3729, 1
0.434,24.8664, 83.109, 12.3319, 1
0.435,24.9237, 83.1019, 12.2911, 1
0.436,24.981, 83.0948, 12.2506, 1
0.437,25.0383, 83.0876, 12.2103, 1
0.438,25.0956, 83.0805, 12.1703, 1
0.439,25.1528, 83.0733, 12.1304, 1
0.44,25.2101, 83.0661, 12.0909, 1
0.441,25.2674, 83.0589, 12.0515, 1
0.442,25.3247, 83.0517, 12.0123, 1
0.443,25.382, 83.0445, 11.9734, 1
0.444,25.4393, 83.0372, 11.9347, 1
0.445,25.4966, 83.0299, 11.8962, 1
0.446,25.5539, 83.0227, 11.858, 1
0.447,25.6112, 83.0154, 11.8199, 1
0.448,25.6685, 83.0081, 11.7821, 1
0.449,25.7258, 83.0007, 11.7444, 1
0.45,25.7831, 82.9934, 11.707, 1
0.451,25.8404, 82.986, 11.6698, 1
0.452,25.8977, 82.9787, 11.6328, 1
0.453,25.955, 82.9713, 11.596, 1
0.454,26.0123, 82.9639, 11.5594, 1
0.455,26.0696, 82.9564, 11.5231, 1
0.456,26.1269, 82.949, 11.4869, 1
0.457,26.1842, 82.9416, 11.4509, 1
0.458,26.2415, 82.9341, 11.4151, 1
0.459,26.2988, 82.9266, 11.3795, 1
0.46,26.3561, 82.9191, 11.3441, 1
0.461,26.4134, 82.9116, 11.3089, 1
